brª
   b1%  5
         0.03,0.02,-1.04,-6.20,-8.45,0.52,CALIB
CALIB
CALIB
0.02,0.01,-1.02,-7.24,-10.11,0.60,CALIB
0.03,0.02,-1.03,-7.27,-10.16,0.61,CALIB
0.03,0.02,-1.04,-7.30,-10.20,0.61,CALIB
0.04,0.01,-1.01,-7.32,-10.25,0.61,CALIB
0.04,0.02,-1.03,-7.35,-10.28,0.61,CALIB
0.03,0.01,-1.04,-7.38,-10.32,0.61,CALIB
0.02,0.02,-1.03,-7.41,-10.37,0.62,CALIB
0.03,0.02,-1.03,-7.44,-10.41,0.62,CALIB
0.03,0.01,-1.03,-7.46,-10.46,0.62,CALIB
0.02,0.02,-1.03,-7.49,-10.50,0.62,CALIB
0.03,0.02,-1.03,-7.52,-10.55,0.63,CALIB
0.02,0.02,-1.01,-7.55,-10.60,0.63,CALIB
0.03,0.02,-1.03,-7.58,-10.64,0.63,CALIB
0.04,0.02,-1.03,-7.61,-10.69,0.63,CALIB
0.04,0.02,-1.03,-7.64,-10.73,0.64,CALIB
0.04,0.02,-1.02,-7.67,-10.78,0.64,CALIB
0.03,0.02,-1.05,-7.70,-10.82,0.64,CALIB
0.04,0.02,-1.02,-7.73,-10.87,0.64,CALIB
0.03,0.02,-1.02,-7.76,-10.91,0.65,CALIB
0.03,0.02,-1.04,-7.79,-10.95,0.65,CALIB
0.02,0.02,-1.02,-7.82,-11.00,0.65,CALIB
0.03,0.02,-1.02,-7.85,-11.05,0.66,CALIB
0.03,0.01,-1.03,-7.88,-11.10,0.66,CALIB
0.03,0.02,-1.03,-7.91,-11.15,0.66,CALIB
0.03,0.01,-1.03,-7.94,-11.19,0.66,CALIB
0.03,0.02,-1.03,-7.97,-11.24,0.67,CALIB
0.03,0.02,-1.03,-8.00,-11.29,0.67,CALIB
0.04,0.03,-1.02,-8.03,-11.34,0.67,CALIB
0.03,0.02,-1.02,-8.06,-11.38,0.68,CALIB
0.03,0.03,-1.02,-8.09,-11.43,0.68,CALIB
0.03,0.01,-1.04,-8.12,-11.47,0.68,CALIB
0.03,0.01,-1.01,-8.15,-11.52,0.68,CALIB
0.04,0.02,-1.04,-8.18,-11.57,0.69,CALIB
0.04,0.01,-1.02,-8.22,-11.61,0.69,CALIB
0.03,0.02,-1.03,-8.25,-11.66,0.69,CALIB
0.03,0.01,-1.03,-8.28,-11.71,0.69,CALIB
0.03,0.01,-1.03,-8.31,-11.76,0.70,CALIB
0.04,0.02,-1.03,-8.34,-11.81,0.70,CALIB
0.03,0.02,-1.03,-8.37,-11.85,0.70,CALIB
0.03,0.02,-1.02,-8.41,-11.91,0.71,CALIB
0.03,0.03,-1.03,-8.44,-11.96,0.71,CALIB
0.03,0.02,-1.03,-8.47,-12.00,0.71,CALIB
0.03,0.01,-1.04,-8.50,-12.05,0.72,CALIB
0.04,0.02,-1.02,-8.54,-12.10,0.72,CALIB
0.03,0.01,-1.02,-8.57,-12.15,0.72,CALIB
0.03,0.03,-1.02,-8.60,-12.20,0.73,CALIB
0.03,0.02,-1.04,-8.63,-12.25,0.73,CALIB
0.03,0.02,-1.03,-8.67,-12.31,0.73,CALIB
CALIB
CALIB
CALIB
CALIB
0.03,0.01,-1.02,-10.15,-14.58,0.89,CALIB
0.02,0.02,-1.05,-10.19,-14.64,0.89,CALIB
0.04,0.02,-1.03,-10.23,-14.70,0.89,CALIB
0.04,0.02,-1.03,-10.27,-14.76,0.90,CALIB
0.03,0.02,-1.04,-10.31,-14.82,0.90,CALIB
0.03,0.02,-1.03,-10.35,-14.88,0.91,CALIB
0.04,0.02,-1.03,-10.39,-14.95,0.91,CALIB
0.03,0.02,-1.03,-10.43,-15.00,0.92,CALIB
0.03,0.02,-1.02,-10.47,-15.07,0.92,CALIB
0.03,0.02,-1.03,-10.51,-15.13,0.93,CALIB
0.03,0.02,-1.02,-10.55,-15.19,0.93,CALIB
0.03,0.01,-1.03,-10.59,-15.25,0.93,CALIB
0.04,0.02,-1.03,-10.63,-15.32,0.94,CALIB
0.03,0.01,-1.03,-10.67,-15.38,0.94,CALIB
0.03,0.01,-1.02,-10.71,-15.44,0.95,CALIB
0.02,0.02,-1.03,-10.75,-15.50,0.95,CALIB
0.03,0.02,-1.04,-10.79,-15.57,0.96,CALIB
0.03,0.03,-1.03,-10.83,-15.63,0.96,CALIB
0.03,0.01,-1.01,-10.88,-15.69,0.97,CALIB
0.03,0.02,-1.01,-10.92,-15.75,0.97,CALIB
0.03,0.01,-1.04,-10.96,-15.82,0.98,CALIB
0.04,0.03,-1.03,-11.00,-15.88,0.98,CALIB
0.03,0.01,-1.03,-11.04,-15.94,0.99,CALIB
0.02,0.02,-1.02,-11.09,-16.01,0.99,CALIB
0.04,0.02,-1.03,-11.13,-16.07,1.00,CALIB
0.02,0.02,-1.02,-11.17,-16.14,1.00,CALIB
0.04,0.02,-1.04,-11.22,-16.20,1.00,CALIB
0.03,0.01,-1.04,-11.26,-16.27,1.01,CALIB
0.03,0.03,-1.03,-11.30,-16.34,1.01,CALIB
0.03,0.01,-1.03,-11.35,-16.40,1.02,CALIB
0.04,0.02,-1.02,-11.39,-16.47,1.02,CALIB
0.02,0.01,-1.03,-11.44,-16.53,1.03,CALIB
0.03,0.02,-1.03,-11.48,-16.60,1.04,CALIB
0.04,0.02,-1.03,-11.52,-16.67,1.04,CALIB
0.03,0.02,-1.01,-11.57,-16.74,1.05,CALIB
0.03,0.02,-1.03,-11.61,-16.81,1.05,CALIB
0.03,0.01,-1.02,-11.66,-16.87,1.06,CALIB
0.03,0.01,-1.03,-11.70,-16.94,1.07,CALIB
0.03,0.02,-1.03,-11.75,-17.01,1.07,CALIB
0.02,0.01,-1.03,-11.79,-17.07,1.08,CALIB
0.03,0.01,-1.03,-11.84,-17.15,1.08,CALIB
0.03,0.02,-1.03,-11.88,-17.22,1.09,CALIB
0.03,0.02,-1.05,-11.93,-17.29,1.10,CALIB
