Behave Select, format x,yyy,zzz
x: 0=roll, 1=pitch, 2=hop, 3=hop then spaz  yyy: PWM val  zzz: millis
0,0,0,0,54
0.12,-0.10,1.00,-2.48,-4.11,0.26,0,0,0,0,63
0.12,-0.11,1.01,-2.47,-4.12,0.26,0,0,0,0,73
0.12,-0.11,1.00,-2.48,-4.12,0.26,0,0,0,0,82
0.12,-0.11,0.99,-2.48,-4.12,0.26,0,0,0,0,91
0.12,-0.11,1.00,-2.48,-4.12,0.26,0,0,0,0,100
0.12,-0.12,1.00,-0.00,-0.00,-0.00,100,100,100,100,10
0.12,-0.12,0.99,-0.00,-0.01,-0.00,100,100,100,100,20
0.13,-0.12,1.00,-0.00,-0.01,-0.00,100,100,100,100,30
0.13,-0.11,1.00,-0.00,-0.01,-0.00,100,100,100,100,40
0.12,-0.12,1.00,-0.00,-0.01,-0.00,100,100,100,100,50
0.10,-0.11,1.02,-0.00,-0.01,-0.00,100,100,100,100,60
0.14,-0.07,0.99,-0.01,-0.02,-0.00,100,100,100,100,70
0.11,-0.13,0.98,-0.03,-0.02,-0.00,100,100,100,100,80
0.11,-0.13,1.01,-0.03,-0.03,-0.00,100,100,100,100,90
0.18,-0.07,1.00,-0.02,-0.03,-0.00,100,100,100,100,100
0.08,-0.18,0.99,-0.03,-0.02,-0.00,100,100,100,100,110
0.13,-0.10,1.00,-0.02,-0.02,-0.00,100,100,100,100,120
0.17,-0.06,0.99,-0.02,-0.03,-0.00,100,100,100,100,130
0.06,-0.20,1.00,-0.04,-0.02,-0.00,100,100,100,100,141
0.15,-0.06,0.97,-0.02,-0.03,-0.00,100,100,100,100,151
0.18,-0.08,1.00,-0.02,-0.03,-0.00,100,100,100,100,161
0.07,-0.19,1.01,-0.04,-0.01,-0.00,100,100,100,100,172
0.15,-0.03,0.99,-0.02,-0.02,-0.00,100,100,100,100,182
0.14,-0.11,1.00,-0.03,-0.02,-0.00,100,100,100,100,193
0.07,-0.19,1.00,-0.04,-0.02,-0.00,100,100,100,100,204
0.17,-0.05,1.00,-0.01,-0.02,-0.00,38,184,109,212,10
0.14,-0.12,1.01,-0.03,-0.01,-0.00,3,111,123,183,21
0.07,-0.18,1.00,-0.03,-0.01,-0.00,125,200,236,110,31
0.17,-0.02,0.97,-0.01,-0.01,-0.00,144,68,129,150,42
0.13,-0.14,1.00,-0.03,-0.01,-0.00,55,139,138,245,52
0.08,-0.17,1.00,-0.03,0.00,-0.00,32,210,129,209,62
0.18,-0.03,0.98,-0.01,-0.01,-0.00,1,240,124,73,73
0.12,-0.15,1.01,-0.03,0.00,-0.00,187,96,138,22,83
0.09,-0.14,1.00,-0.02,0.01,0.00,237,139,170,251,93
0.17,-0.05,0.98,-0.01,0.00,0.00,215,161,127,59,104
0.10,-0.17,0.99,-0.03,0.01,-0.00,124,234,237,185,114
0.10,-0.12,1.01,-0.01,0.01,0.00,69,146,172,206,125
0.98,0.00,0.00,-0.04,0.04,-0.38,52,12,65,97,135
53,144,100,23,189
114,67,254,219,192
177,69,114,197,194
0.16,-0.09,1.00,0.35,0.45,0.14,19,223,119,116,204
0.13,-0.15,1.00,0.35,0.46,0.14,111,220,78,190,214
0.15,-0.10,0.99,0.34,0.47,0.14,128,130,130,254,224
0.17,-0.08,1.02,0.28,0.50,0.14,210,187,155,140,234
0.10,-0.09,1.01,0.23,0.54,0.15,99,153,96,2,244
0.17,-0.09,1.00,0.16,0.56,0.16,76,209,134,127,253
0.15,-0.06,1.02,0.17,0.60,0.19,113,38,232,91,263
0.08,-0.16,1.01,0.23,0.59,0.20,154,153,205,210,273
0.14,-0.11,1.01,0.28,0.59,0.19,242,141,30,106,283
0.14,-0.09,0.94,0.28,0.65,0.20,234,3,223,73,293
0.10,-0.16,0.95,0.29,0.67,0.19,165,180,195,151,303
0.12,-0.13,1.04,0.41,0.67,0.21,17,228,94,161,312
0.15,-0.03,0.96,0.45,0.67,0.22,170,129,68,184,322
0.14,-0.06,0.85,0.37,0.70,0.21,165,26,47,48,332
