,omegax_0tx,omegay_0tx,omegaz_0tx,pitch_0tx,roll_0tx,yaw_0tx,linax_0tx,linay_0tx,linyz_0tx,m1pwm_0tu,m2pwm_0tu,m3pwm_0tu,m4pwm_0tu,omegax_0dx,omegay_0dx,omegaz_0dx,pitch_0dx,roll_0dx,yaw_0dx,linax_0dx,linay_0dx,linyz_0dx,timesteps,objective vals,flight times,omegax_1tx,omegay_1tx,omegaz_1tx,pitch_1tx,roll_1tx,yaw_1tx,linax_1tx,linay_1tx,linaz_1tx,omegax_2tx,omegay_2tx,omegaz_2tx,pitch_2tx,roll_2tx,yaw_2tx,linax_2tx,linay_2tx,linaz_2tx,omegax_3tx,omegay_3tx,omegaz_3tx,pitch_3tx,roll_3tx,yaw_3tx,linax_3tx,linay_3tx,linaz_3tx,m1pwm_1tu,m2pwm_1tu,m3pwm_1tu,m4pwm_1tu,m1pwm_2tu,m2pwm_2tu,m3pwm_2tu,m4pwm_2tu,m1pwm_3tu,m2pwm_3tu,m3pwm_3tu,m4pwm_3tu,omegax_1fx,omegay_1fx,omegaz_1fx,pitch_1fx,roll_1fx,yaw_1fx,linax_1fx,linay_1fx,linaz_1fx,term,vbat
0,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.736433506011963,-0.057597897946834564,-0.025745391845703125,-0.2734375,-0.0390625,9.765625,10240.0,12288.0,11008.0,12544.0,0.0,0.0,0.0,-7.271766662597656e-06,-0.00012793391942977905,-0.0013885498046875,0.0,-0.0390625,0.0,26.17088,-1.0,-183.061248,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.736433506011963,-0.057597897946834564,-0.025745391845703125,-0.2734375,-0.0390625,9.765625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.736289143562317,-0.0577421709895134,-0.0244293212890625,-0.2734375,-0.0390625,9.765625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.736262321472168,-0.05775352194905281,-0.024005889892578125,-0.2734375,-0.0390625,9.765625,10240.0,12288.0,11008.0,12544.0,10240.0,12288.0,11008.0,12544.0,10240.0,12288.0,11008.0,12544.0,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.738121747970581,-0.05751457437872887,-0.02909088134765625,-0.2734375,-0.0390625,9.765625,0.0,4022.0
1,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.738121747970581,-0.05751457437872887,-0.02909088134765625,-0.2734375,-0.0390625,9.765625,13568.0,16640.0,14592.0,16640.0,-0.704225352112644,0.0,-0.7042253521127009,-0.004425168037414551,-0.0013994872570037842,-0.007289886474609375,0.0390625,-0.078125,-0.0390625,39.826944,-1.0,-156.890368,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.738121747970581,-0.05751457437872887,-0.02909088134765625,-0.2734375,-0.0390625,9.765625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.7364407777786255,-0.05772583186626434,-0.027133941650390625,-0.2734375,-0.078125,9.765625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.736433506011963,-0.057597897946834564,-0.025745391845703125,-0.2734375,-0.0390625,9.765625,13568.0,16640.0,14592.0,16640.0,10240.0,12288.0,11008.0,12544.0,10240.0,12288.0,11008.0,12544.0,-0.8450704225351728,-0.1408450704225288,-1.5492957746478737,-1.7425469160079956,-0.05891406163573265,-0.036380767822265625,-0.234375,-0.1171875,9.7265625,0.0,3985.0
2,-0.8450704225351728,-0.1408450704225288,-1.5492957746478737,-1.7425469160079956,-0.05891406163573265,-0.036380767822265625,-0.234375,-0.1171875,9.7265625,16896.0,20992.0,18432.0,20736.0,-0.7042253521127009,0.7042253521127009,0.0,0.00027883052825927734,-0.0006698258221149445,0.00140380859375,0.078125,0.0390625,0.234375,33.025792,-1.0,-117.063424,-0.8450704225351728,-0.1408450704225288,-1.5492957746478737,-1.7425469160079956,-0.05891406163573265,-0.036380767822265625,-0.234375,-0.1171875,9.7265625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.738121747970581,-0.05751457437872887,-0.02909088134765625,-0.2734375,-0.0390625,9.765625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.7364407777786255,-0.05772583186626434,-0.027133941650390625,-0.2734375,-0.078125,9.765625,16896.0,20992.0,18432.0,20736.0,13568.0,16640.0,14592.0,16640.0,10240.0,12288.0,11008.0,12544.0,-1.5492957746478737,0.5633802816901721,-1.5492957746478737,-1.7422680854797363,-0.059583887457847595,-0.034976959228515625,-0.15625,-0.078125,9.9609375,0.0,3943.0
3,-1.5492957746478737,0.5633802816901721,-1.5492957746478737,-1.7422680854797363,-0.059583887457847595,-0.034976959228515625,-0.15625,-0.078125,9.9609375,20224.0,25344.0,22272.0,24576.0,2.81690140845069,-0.7042253521127009,0.7042253521127009,0.003709554672241211,0.005853962153196335,-0.0110321044921875,-0.15625,0.0390625,-0.234375,44.9984,-1.0,-84.037632,-1.5492957746478737,0.5633802816901721,-1.5492957746478737,-1.7422680854797363,-0.059583887457847595,-0.034976959228515625,-0.15625,-0.078125,9.9609375,-0.8450704225351728,-0.1408450704225288,-1.5492957746478737,-1.7425469160079956,-0.05891406163573265,-0.036380767822265625,-0.234375,-0.1171875,9.7265625,-0.1408450704225288,-0.1408450704225288,-0.8450704225351728,-1.738121747970581,-0.05751457437872887,-0.02909088134765625,-0.2734375,-0.0390625,9.765625,20224.0,25344.0,22272.0,24576.0,16896.0,20992.0,18432.0,20736.0,13568.0,16640.0,14592.0,16640.0,1.267605633802816,-0.1408450704225288,-0.8450704225351728,-1.7385585308074951,-0.05372992530465126,-0.046009063720703125,-0.3125,-0.0390625,9.7265625,0.0,3921.0
4,1.267605633802816,-0.1408450704225288,-0.8450704225351728,-1.7385585308074951,-0.05372992530465126,-0.046009063720703125,-0.3125,-0.0390625,9.7265625,23808.0,29696.0,26112.0,28672.0,-2.112676056337989,0.7042253521127009,0.704225352112644,-0.003727555274963379,0.0074471719563007355,-0.00724029541015625,0.3515625,-0.1171875,-0.1171875,39.039232,-1.0,-39.039232,1.267605633802816,-0.1408450704225288,-0.8450704225351728,-1.7385585308074951,-0.05372992530465126,-0.046009063720703125,-0.3125,-0.0390625,9.7265625,-1.5492957746478737,0.5633802816901721,-1.5492957746478737,-1.7422680854797363,-0.059583887457847595,-0.034976959228515625,-0.15625,-0.078125,9.9609375,-0.8450704225351728,-0.1408450704225288,-1.5492957746478737,-1.7425469160079956,-0.05891406163573265,-0.036380767822265625,-0.234375,-0.1171875,9.7265625,23808.0,29696.0,26112.0,28672.0,20224.0,25344.0,22272.0,24576.0,16896.0,20992.0,18432.0,20736.0,-0.8450704225351728,0.5633802816901721,-0.1408450704225288,-1.7422860860824585,-0.046282753348350525,-0.053249359130859375,0.0390625,-0.15625,9.609375,0.0,3890.0
5,-0.8450704225351728,0.5633802816901721,-0.1408450704225288,-1.7422860860824585,-0.046282753348350525,-0.053249359130859375,0.0390625,-0.15625,9.609375,27136.0,34048.0,29952.0,33024.0,-1.408450704225345,2.81690140845069,0.7042253521127009,-0.01317453384399414,0.008139088749885559,-0.015033721923828125,-0.1171875,0.15625,-0.46875,39.529216,-1.0,0.0,-0.8450704225351728,0.5633802816901721,-0.1408450704225288,-1.7422860860824585,-0.046282753348350525,-0.053249359130859375,0.0390625,-0.15625,9.609375,1.267605633802816,-0.1408450704225288,-0.8450704225351728,-1.7385585308074951,-0.05372992530465126,-0.046009063720703125,-0.3125,-0.0390625,9.7265625,-1.5492957746478737,0.5633802816901721,-1.5492957746478737,-1.7422680854797363,-0.059583887457847595,-0.034976959228515625,-0.15625,-0.078125,9.9609375,27136.0,34048.0,29952.0,33024.0,23808.0,29696.0,26112.0,28672.0,20224.0,25344.0,22272.0,24576.0,-2.9577464788732186,4.084507042253563,0.5633802816901721,-1.7657413482666016,-0.043938685208559036,-0.06540298461914062,-0.0390625,0.078125,9.0625,0.0,3869.0
6,-2.9577464788732186,4.084507042253563,0.5633802816901721,-1.7657413482666016,-0.043938685208559036,-0.06540298461914062,-0.0390625,0.078125,9.0625,33792.0,38144.0,33792.0,37120.0,-1.408450704225345,-0.7042253521127009,0.0,-0.13970017433166504,-0.08627059683203697,0.054393768310546875,-0.1953125,-0.078125,0.7421875,41.43744,-1.0,39.529216,-2.9577464788732186,4.084507042253563,0.5633802816901721,-1.7657413482666016,-0.043938685208559036,-0.06540298461914062,-0.0390625,0.078125,9.0625,-2.2535211267605177,3.380281690140862,0.5633802816901721,-1.7554606199264526,-0.038143664598464966,-0.0682830810546875,-0.078125,0.0,9.140625,-0.8450704225351728,0.5633802816901721,-0.1408450704225288,-1.7422860860824585,-0.046282753348350525,-0.053249359130859375,0.0390625,-0.15625,9.609375,33792.0,38144.0,33792.0,37120.0,30464.0,38144.0,33792.0,37120.0,27136.0,34048.0,29952.0,33024.0,-4.3661971830985635,3.380281690140862,0.5633802816901721,-1.9054415225982666,-0.130209282040596,-0.01100921630859375,-0.234375,0.0,9.8046875,0.0,3848.0
7,-4.3661971830985635,3.380281690140862,0.5633802816901721,-1.9054415225982666,-0.130209282040596,-0.01100921630859375,-0.234375,0.0,9.8046875,33792.0,42496.0,37632.0,41216.0,7.0422535211267245,-2.81690140845069,2.81690140845069,0.011395454406738281,0.024661846458911896,0.050121307373046875,0.390625,-0.46875,-0.1171875,40.57472,-1.0,80.966656,-4.3661971830985635,3.380281690140862,0.5633802816901721,-1.9054415225982666,-0.130209282040596,-0.01100921630859375,-0.234375,0.0,9.8046875,-2.9577464788732186,4.084507042253563,0.5633802816901721,-1.7657413482666016,-0.043938685208559036,-0.06540298461914062,-0.0390625,0.078125,9.0625,-2.2535211267605177,3.380281690140862,0.5633802816901721,-1.7554606199264526,-0.038143664598464966,-0.0682830810546875,-0.078125,0.0,9.140625,33792.0,42496.0,37632.0,41216.0,33792.0,38144.0,33792.0,37120.0,30464.0,38144.0,33792.0,37120.0,2.676056338028161,0.5633802816901721,3.380281690140862,-1.8940460681915283,-0.10554743558168411,0.039112091064453125,0.15625,-0.46875,9.6875,0.0,3821.0
8,2.676056338028161,0.5633802816901721,3.380281690140862,-1.8940460681915283,-0.10554743558168411,0.039112091064453125,0.15625,-0.46875,9.6875,34560.0,43008.0,38400.0,42240.0,16.19718309859155,-9.859154929577471,-5.63380281690138,0.17906475067138672,0.20834194123744965,0.020198822021484375,0.4296875,0.2734375,1.09375,39.974144,0.0,121.541376,2.676056338028161,0.5633802816901721,3.380281690140862,-1.8940460681915283,-0.10554743558168411,0.039112091064453125,0.15625,-0.46875,9.6875,-4.3661971830985635,3.380281690140862,0.5633802816901721,-1.9054415225982666,-0.130209282040596,-0.01100921630859375,-0.234375,0.0,9.8046875,-2.9577464788732186,4.084507042253563,0.5633802816901721,-1.7657413482666016,-0.043938685208559036,-0.06540298461914062,-0.0390625,0.078125,9.0625,34560.0,43008.0,38400.0,42240.0,33792.0,42496.0,37632.0,41216.0,33792.0,38144.0,33792.0,37120.0,18.873239436619713,-9.2957746478873,-2.2535211267605177,-1.7149813175201416,0.10279450565576553,0.0593109130859375,0.5859375,-0.1953125,10.78125,0.0,3826.0
9,18.873239436619713,-9.2957746478873,-2.2535211267605177,-1.7149813175201416,0.10279450565576553,0.0593109130859375,0.5859375,-0.1953125,10.78125,38656.0,44544.0,42752.0,43520.0,-6.3380281690140805,17.605633802816897,2.81690140845069,0.05758678913116455,0.7123784646391869,-0.015445709228515625,-4.21875,1.5234375,-0.0390625,36.468224,0.0,161.51552,18.873239436619713,-9.2957746478873,-2.2535211267605177,-1.7149813175201416,0.10279450565576553,0.0593109130859375,0.5859375,-0.1953125,10.78125,2.676056338028161,0.5633802816901721,3.380281690140862,-1.8940460681915283,-0.10554743558168411,0.039112091064453125,0.15625,-0.46875,9.6875,-4.3661971830985635,3.380281690140862,0.5633802816901721,-1.9054415225982666,-0.130209282040596,-0.01100921630859375,-0.234375,0.0,9.8046875,38656.0,44544.0,42752.0,43520.0,34560.0,43008.0,38400.0,42240.0,33792.0,42496.0,37632.0,41216.0,12.535211267605632,8.309859154929597,0.5633802816901721,-1.657394528388977,0.8151729702949524,0.043865203857421875,-3.6328125,1.328125,10.7421875,0.0,3811.0
