,omegax_0dx,omegay_0dx,omegaz_0dx,pitch_0dx,roll_0dx,yaw_0dx,linax_0dx,linay_0dx,linyz_0dx,omegax_1tx,omegay_1tx,omegaz_1tx,pitch_1tx,roll_1tx,yaw_1tx,linax_1tx,linay_1tx,linaz_1tx,omegax_2tx,omegay_2tx,omegaz_2tx,pitch_2tx,roll_2tx,yaw_2tx,linax_2tx,linay_2tx,linaz_2tx,omegax_3tx,omegay_3tx,omegaz_3tx,pitch_3tx,roll_3tx,yaw_3tx,linax_3tx,linay_3tx,linaz_3tx,m1_pwm_1tu,m2_pwm_1tu,m3_pwm_1tu,m4_pwm_1tu,m1_pwm_2tu,m2_pwm_2tu,m3_pwm_2tu,m4_pwm_2tu,m1_pwm_3tu,m2_pwm_3tu,m3_pwm_3tu,m4_pwm_3tu,omegax_1fx,omegay_1fx,omegaz_1fx,pitch_1fx,roll_1fx,yaw_1fx,linax_1fx,linay_1fx,linaz_1fx
497,0.0,0.0,0.0,2.24,-2.9800000000000004,-0.1800000000000006,-0.04,-0.06000000000000005,0.020000000000000018,0.0,0.0,0.0,-15.73,12.57,6.07,0.01,0.54,-1.2,0.0,0.0,0.0,-18.33,15.48,6.63,-0.02,0.31,-0.98,0.0,0.0,0.0,-19.97,17.66,6.4,0.04,0.24,-0.94,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-13.49,9.59,5.89,-0.03,0.48,-1.18
498,0.0,0.0,0.0,1.1600000000000001,-2.5199999999999996,-0.3199999999999994,0.08,-0.14999999999999997,0.1399999999999999,0.0,0.0,0.0,-13.49,9.59,5.89,-0.03,0.48,-1.18,0.0,0.0,0.0,-15.73,12.57,6.74,0.01,0.54,-1.2,0.0,0.0,0.0,-18.33,15.48,6.63,-0.02,0.31,-0.98,0.0,1500.0,1500.0,3000.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,0.0,0.0,0.0,-12.33,7.07,5.57,0.05,0.33,-1.04
499,0.0,0.0,0.0,0.3200000000000003,-1.5700000000000003,-0.27000000000000046,0.09000000000000001,0.0,0.020000000000000018,0.0,0.0,0.0,-12.33,7.07,5.57,0.05,0.33,-1.04,0.0,0.0,0.0,-13.49,9.59,6.56,-0.03,0.48,-1.18,0.0,0.0,0.0,-15.73,12.57,6.74,0.01,0.54,-1.2,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,1500.0,0.0,3000.0,1500.0,0.0,0.0,0.0,-12.01,5.5,5.3,0.14,0.33,-1.02
500,0.0,0.0,0.0,-0.14000000000000057,-0.29000000000000004,0.0600000000000005,-0.08000000000000002,-0.010000000000000009,-0.08000000000000007,0.0,0.0,0.0,-12.01,5.5,5.3,0.14,0.33,-1.02,0.0,0.0,0.0,-12.33,7.07,6.24,0.05,0.33,-1.04,0.0,0.0,0.0,-13.49,9.59,6.56,-0.03,0.48,-1.18,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-12.15,5.21,5.36,0.06,0.32,-1.1
501,0.0,0.0,0.0,-0.7300000000000004,0.9699999999999998,0.39999999999999947,0.04000000000000001,0.02999999999999997,0.040000000000000036,0.0,0.0,0.0,-12.15,5.21,5.36,0.06,0.32,-1.1,0.0,0.0,0.0,-12.01,5.5,5.97,0.14,0.33,-1.02,0.0,0.0,0.0,-12.33,7.07,6.24,0.05,0.33,-1.04,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-12.88,6.18,5.76,0.1,0.35,-1.06
502,0.0,0.0,0.0,-1.4299999999999997,1.9900000000000002,0.5200000000000005,-0.020000000000000004,-0.26,0.1200000000000001,0.0,0.0,0.0,-12.88,6.18,5.76,0.1,0.35,-1.06,0.0,0.0,0.0,-12.15,5.21,6.03,0.06,0.32,-1.1,0.0,0.0,0.0,-12.01,5.5,5.97,0.14,0.33,-1.02,0.0,1.0,2998.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-14.31,8.17,6.28,0.08,0.09,-0.94
503,0.0,0.0,0.0,-1.4799999999999986,2.380000000000001,0.4299999999999997,0.05,0.15,0.08999999999999997,0.0,0.0,0.0,-14.31,8.17,6.28,0.08,0.09,-0.94,0.0,0.0,0.0,-12.88,6.18,6.43,0.1,0.35,-1.06,0.0,0.0,0.0,-12.15,5.21,6.03,0.06,0.32,-1.1,0.0,1.0,2998.0,3000.0,0.0,1.0,2998.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-15.79,10.55,6.71,0.13,0.24,-0.85
504,0.0,0.0,0.0,-0.7600000000000016,2.119999999999999,0.27000000000000046,-0.16,0.06,-0.08999999999999997,0.0,0.0,0.0,-15.79,10.55,6.71,0.13,0.24,-0.85,0.0,0.0,0.0,-14.31,8.17,6.95,0.08,0.09,-0.94,0.0,0.0,0.0,-12.88,6.18,6.43,0.1,0.35,-1.06,3000.0,1500.0,1500.0,0.0,0.0,1.0,2998.0,3000.0,0.0,1.0,2998.0,3000.0,0.0,0.0,0.0,-16.55,12.67,6.98,-0.03,0.3,-0.94
505,0.0,0.0,0.0,0.25,1.4900000000000002,0.13999999999999968,0.04,0.010000000000000009,-0.050000000000000044,0.0,0.0,0.0,-16.55,12.67,6.98,-0.03,0.3,-0.94,0.0,0.0,0.0,-15.79,10.55,7.38,0.13,0.24,-0.85,0.0,0.0,0.0,-14.31,8.17,6.95,0.08,0.09,-0.94,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,1.0,2998.0,3000.0,0.0,0.0,0.0,-16.3,14.16,7.12,0.01,0.31,-0.99
506,0.0,0.0,0.0,0.9800000000000004,0.8699999999999992,-0.03000000000000025,0.019999999999999997,-0.04999999999999999,0.15000000000000002,0.0,0.0,0.0,-16.3,14.16,7.12,0.01,0.31,-0.99,0.0,0.0,0.0,-16.55,12.67,7.65,-0.03,0.3,-0.94,0.0,0.0,0.0,-15.79,10.55,7.38,0.13,0.24,-0.85,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-15.32,15.03,7.09,0.03,0.26,-0.84
