Timestamp,compactImu.a_xyz,compactImu.l_xyz,motorCompact.pwms,stabilizer.pitch,stabilizer.roll,stabilizer.thrust,stabilizer.yaw
129681,536346111,641203711,0,-0.307953954,0.18364656,0,14.40745354
129691,536346111,641203711,0,-0.307147473,0.184048086,0,14.40668106
129701,536346111,641203711,0,-0.306528389,0.183432385,0,14.40573311
129711,536346111,641203711,0,-0.306293517,0.182731047,0,14.40633583
129721,536346111,641203711,0,-0.305669069,0.182312265,0,14.40562916
129731,536346111,641203711,0,-0.304701328,0.182470724,0,14.40601444
129741,536346111,641203711,0,-0.303627849,0.182239756,0,14.40586185
129751,536346111,641203711,0,-0.303546727,0.182225913,0,14.40570164
129761,536346111,641203711,0,-0.303758919,0.182015151,0,14.40709591
129771,536346111,641203711,0,-0.303625494,0.182510719,0,14.40675163
129781,536346111,641203711,0,-0.304765791,0.183879495,0,14.40668488
129791,536346111,641203711,0,-0.305165589,0.184942111,0,14.40654087
129801,536346111,641203711,0,-0.30465129,0.186298281,0,14.4060297
129811,536346111,641203711,0,-0.305124074,0.188438579,0,14.4064312
129821,536346111,641202687,0,-0.306370616,0.190655366,0,14.40553188
129831,536346111,642251263,0,-0.306624264,0.191691592,0,14.40548801
129841,536346111,642252287,0,-0.307877988,0.19250758,0,14.40570068
129851,536346111,642252287,0,-0.308973759,0.194005832,0,14.40542793
129861,536346111,641202687,0,-0.309579164,0.195227355,0,14.40635204
129871,536346111,641203711,0,-0.310275078,0.196144998,0,14.40614223
129881,536346111,640155135,0,-0.311048865,0.198327988,0,14.406003
129891,536346111,640155135,0,-0.311880112,0.200915337,0,14.40525627
129901,536346111,640155135,0,-0.313245952,0.203842625,0,14.40568733
129911,536346111,641203711,0,-0.314208388,0.205049485,0,14.40515995
129921,536346111,641203711,0,-0.315119356,0.205585137,0,14.40373039
129931,536346111,641203711,0,-0.315369904,0.206140339,0,14.40382576
129941,536346111,641203711,0,-0.315278947,0.206070155,0,14.40277863
129951,536346111,641203711,0,-0.314925343,0.205975994,0,14.40289211
129961,536346111,640155135,0,-0.315322667,0.207404912,0,14.40365887
129971,536346111,640155135,0,-0.315171868,0.208154157,0,14.40433598
129981,536346111,640155135,0,-0.315032512,0.207985669,0,14.40495205
129991,536346111,641203711,0,-0.315062374,0.207280278,0,14.40518379
130001,536346111,641203711,0,-0.31502822,0.206116438,0,14.40505791
130011,536346111,641203711,0,-0.315335721,0.205797315,0,14.40538979
130021,536346111,642252287,0,-0.314834267,0.205871537,0,14.4046917
130031,536346111,641203711,0,-0.314131051,0.206299186,0,14.40368843
130041,536346111,641203711,0,-0.313193321,0.205894113,0,14.40504074
130051,536346111,641203711,0,-0.313050866,0.205699429,0,14.40480042
130061,536346111,641203711,0,-0.313017309,0.205319762,0,14.4044981
130071,536346111,641203711,0,-0.311974168,0.205763295,0,14.40441895
130081,536346111,641203711,0,-0.311380446,0.206305057,0,14.40407085
130091,536346111,641203711,0,-0.310874581,0.206591591,0,14.40468025
130101,536346111,642252287,0,-0.311091453,0.206169546,0,14.40382576
130111,536346111,642251263,0,-0.310842603,0.206223235,0,14.40365696
130121,536346111,641203711,0,-0.31050086,0.206297696,0,14.4031992
130131,535297535,641203711,0,-0.310577631,0.206190586,0,14.40249348
130141,536346111,641203711,0,-0.310200453,0.206865877,0,14.40129089
130151,536346111,640155135,0,-0.310594738,0.207257405,0,14.40015697
130161,536346111,640155135,0,-0.310963005,0.206665322,0,14.39959717
130171,536346111,641203711,0,-0.311170608,0.20643729,0,14.3999548
130181,536346111,641203711,0,-0.310769618,0.206022367,0,14.40025425
130191,536346111,642252287,0,-0.310459971,0.205585524,0,14.39989281
130201,536346111,642252287,0,-0.309441864,0.204663441,0,14.40029526
130211,536346111,642252287,0,-0.30900079,0.203957409,0,14.40015125
130221,536346111,641203711,0,-0.307858497,0.203931198,0,14.39944649
130231,536346111,641203711,0,-0.307406127,0.204332709,0,14.39965343
130241,536346111,641203711,0,-0.306192368,0.2040696,0,14.39865971
130251,536346111,641203711,0,-0.305801153,0.203503221,0,14.39791679
130261,536346111,641203711,0,-0.305973411,0.202851355,0,14.39842224
130271,536346111,641203711,0,-0.306754351,0.202566087,0,14.39809322
130281,536346111,641203711,0,-0.307043552,0.202356383,0,14.39785385
130291,536346111,641203711,0,-0.306735903,0.202461883,0,14.39720154
130301,536346111,641203711,0,-0.307401061,0.202829286,0,14.39859486
130311,536346111,641203711,0,-0.307642162,0.202380851,0,14.3988924
130321,536346111,641203711,0,-0.307016224,0.201959506,0,14.39968491
130331,535297535,641203711,0,-0.3064937,0.201742321,0,14.39943695
130341,536346111,641203711,0,-0.305398762,0.202322915,0,14.39842224
130351,535297535,641203711,0,-0.305455238,0.202275872,0,14.39778614
