52700.00,57100.00,52000.00,45800.00
55300.00,58100.00,50200.00,43800.00
48100.00,49900.00,54800.00,50200.00
47400.00,49400.00,53800.00,53000.00
49200.00,52700.00,53800.00,47600.00
49400.00,53500.00,53000.00,47400.00
49900.00,55000.00,51700.00,43800.00
50700.00,53800.00,50200.00,45800.00
51500.00,53800.00,50200.00,45300.00
51200.00,51700.00,49400.00,48400.00
51500.00,50900.00,50200.00,48100.00
50700.00,48600.00,50400.00,53200.00
53200.00,50700.00,51500.00,52200.00
51700.00,48600.00,52200.00,54800.00
53200.00,50700.00,52000.00,51700.00
53200.00,51500.00,53000.00,49900.00
44800.00,49700.00,44300.00,32300.00
41200.00,38900.00,39700.00,37900.00
42800.00,41200.00,44000.00,37900.00
42500.00,42500.00,42500.00,38100.00
44300.00,44500.00,44300.00,37900.00
48100.00,49700.00,48600.00,43300.00
49700.00,51700.00,49200.00,42000.00
47900.00,53000.00,49700.00,41700.00
48100.00,54000.00,50200.00,40200.00
48400.00,54300.00,48900.00,40700.00
48600.00,55300.00,48900.00,39700.00
50200.00,55800.00,50900.00,43500.00
52000.00,56800.00,52700.00,46100.00
52200.00,56600.00,52200.00,46300.00
51700.00,56600.00,52500.00,46800.00
52700.00,56600.00,51700.00,46300.00
52000.00,56100.00,52700.00,46600.00
51500.00,56100.00,53000.00,47100.00
51500.00,56100.00,53200.00,46600.00
51700.00,57600.00,53000.00,45300.00
51700.00,55600.00,53000.00,47400.00
50900.00,57100.00,53800.00,45600.00
52200.00,57900.00,52500.00,45100.00
50200.00,56300.00,54500.00,46300.00
51500.00,56100.00,53500.00,46600.00
51700.00,57600.00,53500.00,44800.00
52500.00,58600.00,52500.00,43800.00
52000.00,56100.00,53000.00,46600.00
51700.00,56600.00,53800.00,45600.00
52200.00,55600.00,52500.00,47400.00
52000.00,55600.00,52500.00,47400.00
52700.00,58900.00,52500.00,43500.00
52000.00,56800.00,53200.00,45600.00
52200.00,57100.00,53000.00,45100.00
51700.00,54800.00,53800.00,47400.00
52700.00,58400.00,52500.00,43800.00
50400.00,54000.00,50900.00,42500.00
48400.00,52000.00,49400.00,42800.00
43300.00,46300.00,44500.00,37100.00
42800.00,45600.00,44500.00,38400.00
37400.00,53200.00,43300.00,23800.00
37600.00,55000.00,44300.00,23300.00
39200.00,54000.00,44800.00,27600.00
39900.00,55000.00,46600.00,29400.00
42500.00,52000.00,46600.00,35600.00
46100.00,50700.00,49400.00,43500.00
46300.00,48600.00,49200.00,45800.00
47600.00,46600.00,49400.00,48600.00
47400.00,46800.00,49700.00,48600.00
47100.00,45600.00,50900.00,48900.00
47600.00,49400.00,49700.00,46100.00
47400.00,49700.00,50900.00,44300.00
47100.00,53200.00,50700.00,41700.00
47400.00,55000.00,51200.00,38900.00
46300.00,57100.00,51500.00,37400.00
47100.00,55800.00,51200.00,38400.00
47100.00,55800.00,51200.00,38400.00
47600.00,54000.00,50700.00,40200.00
46800.00,51500.00,50900.00,43300.00
48100.00,51700.00,50200.00,42200.00
47600.00,51500.00,50400.00,43000.00
47900.00,49400.00,50900.00,44300.00
47100.00,50200.00,50900.00,44300.00
47900.00,50900.00,51200.00,42500.00
46600.00,51200.00,51700.00,42800.00
48400.00,52000.00,50900.00,41500.00
47100.00,52500.00,51500.00,41500.00
47400.00,52000.00,51700.00,41200.00
47400.00,52500.00,51500.00,41200.00
48100.00,51700.00,51700.00,41200.00
47600.00,51500.00,51200.00,42200.00
49200.00,50700.00,50400.00,42000.00
47100.00,51200.00,51700.00,42200.00
49200.00,51200.00,50900.00,41200.00
47600.00,49900.00,51500.00,43300.00
48100.00,49900.00,51500.00,43000.00
48400.00,52000.00,50700.00,41500.00
47900.00,50400.00,52000.00,42200.00
48100.00,50900.00,50900.00,42200.00
48600.00,50700.00,51200.00,42000.00
47400.00,49900.00,52000.00,43300.00
48400.00,50200.00,51500.00,42800.00
48100.00,50200.00,50900.00,43000.00
48900.00,49400.00,50400.00,43500.00
48400.00,49900.00,50900.00,43300.00
48600.00,49200.00,49900.00,42200.00
45300.00,47400.00,48600.00,40400.00
