226116,26679,26465,25295,25649,-0.011811351,0.727553248
226126,40263,39997,39461,39518,-0.016022859,0.728250325
226136,46412,46679,45852,45875,-0.018686019,0.72736764
226146,50280,49989,49926,49745,-0.021604221,0.725569546
226156,55247,54998,55093,54720,-0.019630054,0.728737652
226166,57581,57355,55850,57700,-0.032090675,0.740329206
226176,58716,60141,59992,58525,-0.039438065,0.734883964
226186,60206,60126,60883,59796,-0.034026816,0.746459901
226196,61739,58928,60698,61727,-0.032899328,0.748595536
226206,62570,62570,60491,50372,-0.050695922,0.755742908
226216,60575,58440,60528,60501,-0.043520991,0.710435748
226226,57675,48902,58711,59318,-0.024434773,0.697466493
226236,58671,54979,53315,57638,-0.011840712,0.69223237
226246,57071,54003,55922,53336,0.016251344,0.705334723
226256,56135,56135,47452,45736,0.050544493,0.57837373
226266,56135,52901,56135,50668,0.062215433,0.566213131
226276,52525,55230,55230,41370,-0.013423514,0.462240398
226286,48970,52867,54828,52215,0.10792277,0.45380345
226296,51806,50984,54353,53068,0.089475445,0.475506037
226306,53988,54353,53784,44862,0.132573873,0.43450433
226316,54069,50817,52429,53072,0.167179137,0.401340932
226326,54197,48674,52800,53266,0.131533965,0.396878064
226336,53964,47397,52169,53964,0.211414695,0.383523166
226346,53385,45608,53605,53887,0.20471257,0.304224759
226356,52506,47924,53881,53773,0.203797877,0.310173541
226366,51635,49155,53810,52666,0.220922619,0.265195817
226376,50299,53810,53810,47589,0.218658969,0.263118982
226386,50853,49202,53810,50544,0.199516058,0.220935807
226396,49247,39979,53810,53810,0.236538306,0.266865343
226406,53733,51033,53255,50112,0.240150735,0.13166739
226416,50364,53428,53428,45973,0.214845851,0.094435424
226426,48786,53656,53656,43175,0.302017033,0.16662994
226436,53449,45158,53112,53580,0.348211646,0.136919975
226446,53580,52070,44507,50983,0.383085042,0.127696007
226456,53428,53428,49410,46031,0.369095176,0.030302258
226466,53504,53504,51132,34267,0.340891361,-0.074696966
226476,53656,53322,46446,47029,0.379736394,-0.159015104
226486,53428,53428,45093,46146,0.455610096,-0.175445616
226496,53504,51678,50243,51855,0.511861026,-0.217457548
226506,53504,53504,45574,45850,0.641055763,-0.265228122
226516,53580,51392,49510,50504,0.673106015,-0.383946955
226526,53513,47901,53580,50843,0.616014838,-0.462680727
226536,51634,50998,53504,49710,0.612056911,-0.512441099
226546,51542,46558,53428,52556,0.601054907,-0.552576542
226556,53381,47264,53383,52170,0.602493227,-0.565157413
226566,53428,49517,49053,47936,0.661679506,-0.661943913
226576,50235,53504,53504,40334,0.705943823,-0.693897843
