Timestamp,compactImu.a_xyz,compactImu.l_xyz,motorCompact.pwms,stabilizer.pitch,stabilizer.roll,stabilizer.thrust,stabilizer.yaw
20697,536346111,641204736,0,0.5990535020828247,0.4826716184616089,0,-0.31599462032318115
20707,536346111,641204736,0,0.5991762280464172,0.48360997438430786,0,-0.316898375749588
20717,536346111,641204736,0,0.5984606146812439,0.4831394553184509,0,-0.31660252809524536
20727,536346111,641203712,0,0.5981259942054749,0.482576459646225,0,-0.31598302721977234
20737,536346111,641203712,0,0.5977107286453247,0.480323851108551,0,-0.3159452974796295
20747,536346111,641203712,0,0.5974764227867126,0.4790623188018799,0,-0.3166382908821106
20757,536346111,641203712,0,0.5970965623855591,0.47864967584609985,0,-0.3164936304092407
20767,536346111,641204736,0,0.5965825915336609,0.47938376665115356,0,-0.3166023790836334
20777,536346111,641204736,0,0.5971879959106445,0.4808894395828247,0,-0.3168540298938751
20787,536346111,641204736,0,0.5975033640861511,0.4815721809864044,0,-0.3164384365081787
20797,536346111,641204737,0,0.5972578525543213,0.4824431538581848,0,-0.3171406686306
20807,536346111,641204736,0,0.5968941450119019,0.48252952098846436,0,-0.3167080283164978
20817,536346111,641203712,0,0.5973502397537231,0.4825060963630676,0,-0.3174948990345001
20827,536346111,641203712,0,0.5975044369697571,0.48221004009246826,0,-0.31784433126449585
20837,535297535,641203712,0,0.5967281460762024,0.48058822751045227,0,-0.3184109628200531
20847,536346111,641203712,0,0.5955923795700073,0.4794999957084656,0,-0.3190475106239319
20857,536346111,641204736,0,0.5950380563735962,0.47880178689956665,0,-0.31864914298057556
20867,536346111,641204736,0,0.5942703485488892,0.47937771677970886,0,-0.31776219606399536
20877,536346111,641204737,0,0.594079315662384,0.47973114252090454,0,-0.31927281618118286
20887,536346111,641204737,0,0.5943442583084106,0.4797956943511963,0,-0.31956177949905396
20897,536346111,641204737,0,0.595106840133667,0.4797273576259613,0,-0.31921714544296265
20907,536346111,641203712,0,0.5950711965560913,0.47924575209617615,0,-0.31934428215026855
20917,536346111,641203712,0,0.5942126512527466,0.47914743423461914,0,-0.32061606645584106
20927,536346111,641204736,0,0.5935737490653992,0.4789566099643707,0,-0.32063165307044983
