Timestamp,compactImu.a_xyz,compactImu.l_xyz,motorCompact.pwms,stabilizer.pitch,stabilizer.roll,stabilizer.thrust,stabilizer.yaw
2798834,536346111,641202687,0,0.539990425,-0.711221874,0,-54.65488434
2798844,535297535,641202687,0,0.539111912,-0.711506963,0,-54.6557579
2798854,536346111,641202687,0,0.53792572,-0.712226987,0,-54.65748596
2798864,536346111,641202687,0,0.537595332,-0.713220119,0,-54.65872192
2798874,536346111,641202687,0,0.536554337,-0.714153111,0,-54.66027832
2798884,535297535,641202687,0,0.536558926,-0.714090586,0,-54.6622467
2798894,535297535,641202688,0,0.535090685,-0.714445114,0,-54.66459274
2798904,536346111,641202688,0,0.535234094,-0.713692129,0,-54.66590881
2798914,536346111,641203711,0,0.535575211,-0.712583125,0,-54.66697311
2798924,536345087,641203711,0,0.536017537,-0.712236226,0,-54.66783524
2798934,536345087,641202687,0,0.537230849,-0.71217531,0,-54.66889572
2798944,535297535,641202687,0,0.537386894,-0.712132931,0,-54.6705246
2798954,536346111,641202687,0,0.536722541,-0.712481081,0,-54.671772
2798964,535297535,641202687,0,0.536272347,-0.712856174,0,-54.67377853
2798974,535297535,641202687,0,0.536205947,-0.712281883,0,-54.67595673
2798984,536346111,641202687,0,0.535962462,-0.712014198,0,-54.67717743
2798994,535297535,641202687,0,0.536355317,-0.712113142,0,-54.67882919
2799004,536346111,641202687,0,0.536457777,-0.712577879,0,-54.67979813
2799014,535297535,641203711,0,0.536768258,-0.712101936,0,-54.68189621
2799024,536346111,641203712,0,0.53661406,-0.711197138,0,-54.68322754
2799034,536346111,641202687,0,0.536635816,-0.710108995,0,-54.68473816
2799044,536345087,641202687,0,0.537051857,-0.710290849,0,-54.68548203
2799054,535297535,641202687,0,0.537303686,-0.711383939,0,-54.68728256
2799064,535297535,641202687,0,0.536270797,-0.711410701,0,-54.68866348
2799074,535297535,641202688,0,0.536071718,-0.711379766,0,-54.69190979
2799084,536346111,641202688,0,0.536314189,-0.7120139,0,-54.69374084
2799094,536346111,641202688,0,0.537368774,-0.713004768,0,-54.69461823
2799104,536346111,640154112,0,0.537849784,-0.712759733,0,-54.6953392
2799114,536346111,640155136,0,0.538728356,-0.712361336,0,-54.69710922
2799124,536346111,641203712,0,0.53839463,-0.711890042,0,-54.69734192
2799134,535297535,641202687,0,0.53801316,-0.711757779,0,-54.69952393
2799144,535297535,641202687,0,0.53844142,-0.711678982,0,-54.70236588
2799154,536346111,641202687,0,0.539205611,-0.712009251,0,-54.70345688
2799164,535297535,641203711,0,0.538361013,-0.710908473,0,-54.70484924
2799174,535297535,641202687,0,0.537874103,-0.71034807,0,-54.70759201
2799184,536346111,641202687,0,0.538220882,-0.709846973,0,-54.70905304
2799194,536346111,641202687,0,0.53809005,-0.709503353,0,-54.70975876
2799204,535297535,640154111,0,0.537827969,-0.710248053,0,-54.71109772
2799214,536345087,641202687,0,0.538787067,-0.710768819,0,-54.71315384
2799224,535297535,641203712,0,0.538789988,-0.711007357,0,-54.71458054
2799234,536346111,641203711,0,0.539291739,-0.710591376,0,-54.71675873
2799244,535297535,641202687,0,0.53866756,-0.710925817,0,-54.71896744
2799254,536346111,641202688,0,0.5381971,-0.711885631,0,-54.72021866
2799264,536346111,641202687,0,0.538022816,-0.712054729,0,-54.72039413
2799274,536346111,641202687,0,0.538182914,-0.711843312,0,-54.72145462
2799284,536346111,641202687,0,0.53830415,-0.711479247,0,-54.72185516
2799294,535297535,641202687,0,0.539009333,-0.709702551,0,-54.72411346
2799304,536346111,641202687,0,0.539787829,-0.709678769,0,-54.72481918
2799314,536346111,641202688,0,0.540162206,-0.70987916,0,-54.72671509
2799324,536346111,641203712,0,0.540033698,-0.709412098,0,-54.72681427
2799334,536346111,641203712,0,0.540396035,-0.709088564,0,-54.72799301
2799344,536346111,641202687,0,0.539871931,-0.708820641,0,-54.72874069
2799354,536346111,641203711,0,0.538817763,-0.709899127,0,-54.72999573
2799364,536346111,641203711,0,0.538878024,-0.710010409,0,-54.73022079
2799374,536346111,640155135,0,0.538855672,-0.709712088,0,-54.73171234
2799384,536346111,641202687,0,0.53881228,-0.709582508,0,-54.73254395
2799394,536346111,641202687,0,0.538736522,-0.707661211,0,-54.73414612
2799404,536346111,641203711,0,0.538507402,-0.70591861,0,-54.73483658
2799414,536346111,641202687,0,0.539017498,-0.706065476,0,-54.73613739
2799424,536346111,641203712,0,0.539133728,-0.706032693,0,-54.73670578
2799434,536346111,641202688,0,0.538927257,-0.707088053,0,-54.73823547
2799444,536346111,641202687,0,0.538342774,-0.707153976,0,-54.73906326
2799454,536346111,641202687,0,0.538389623,-0.708047271,0,-54.74058151
2799464,535297535,641202687,0,0.538220823,-0.708539605,0,-54.74264145
2799474,536346111,641203711,0,0.538338125,-0.708403468,0,-54.74438477
2799484,536346111,641202687,0,0.538548827,-0.708405554,0,-54.74543381
2799494,536346111,641203711,0,0.539273381,-0.707933366,0,-54.74611664
2799504,536345087,641203711,0,0.539859593,-0.706942856,0,-54.7470932
2799514,536346111,641202687,0,0.540615737,-0.706688821,0,-54.74810791
2799524,535297535,641202688,0,0.540882707,-0.707148194,0,-54.74991608
2799534,536346111,641202688,0,0.540110826,-0.707659125,0,-54.75152206
2799544,535297535,641202687,0,0.539650977,-0.708131075,0,-54.75378036
2799554,536346111,641202687,0,0.538906932,-0.708311081,0,-54.75537109
2799564,535297535,641202687,0,0.538504362,-0.707726359,0,-54.75679016
2799574,536346111,641202688,0,0.539388061,-0.707929194,0,-54.75816345
2799584,536346111,641203712,0,0.540160656,-0.707183301,0,-54.75902176
2799594,536345087,641202687,0,0.541254222,-0.705508411,0,-54.75965881
2799604,536346111,641202687,0,0.541448116,-0.705302775,0,-54.76070404
2799614,535297535,641202687,0,0.541172028,-0.705643415,0,-54.76196289
2799624,536346111,641202687,0,0.540715098,-0.705515504,0,-54.76289368
2799634,535297535,641202687,0,0.540262282,-0.706546605,0,-54.7652359
2799644,536346111,641202687,0,0.539883494,-0.707259238,0,-54.76589966
2799654,536346111,641202687,0,0.539090276,-0.706911981,0,-54.76737213
2799664,536346111,641202687,0,0.53823334,-0.70717752,0,-54.76771164
2799674,535297535,641202687,0,0.5381037,-0.706105411,0,-54.77080917
2799684,536346111,641202687,0,0.538384497,-0.705660164,0,-54.77175903
2799694,535297535,641202687,0,0.539057314,-0.704354823,0,-54.77443695
2799704,535297535,641202687,0,0.539448738,-0.703820527,0,-54.77567673
2799714,535297535,641202687,0,0.540378511,-0.703694642,0,-54.77782822
2799724,536346111,641202687,0,0.541313291,-0.703705728,0,-54.77864838
2799734,536346111,641202687,0,0.541333437,-0.703960478,0,-54.78004456
2799744,535297535,641202687,0,0.54078716,-0.70528686,0,-54.78163147
2799754,535297535,641202687,0,0.539648056,-0.706732035,0,-54.78348923
2799764,535297535,641202687,0,0.539549232,-0.707189798,0,-54.7849884
2799774,536346111,641202687,0,0.53987509,-0.7073282,0,-54.78705597
2799784,535297535,641203711,0,0.53961128,-0.70754236,0,-54.78852081
2799794,536346111,641202687,0,0.539505064,-0.707146108,0,-54.79014206
2799804,536346111,641202687,0,0.538630724,-0.707202375,0,-54.79127884
2799814,536346111,640154111,0,0.538095117,-0.70756501,0,-54.79241943
2799824,536346111,641202687,0,0.537531376,-0.70785892,0,-54.79309464
2799834,535297535,641202688,0,0.538227558,-0.709538996,0,-54.79460144
2799844,535297535,641203711,0,0.538247645,-0.709211469,0,-54.79635239
2799854,536346111,641203711,0,0.538842559,-0.709177315,0,-54.79720306
2799864,536346111,641202687,0,0.538831472,-0.709247649,0,-54.79699326
2799874,536346111,641202687,0,0.538760126,-0.710322857,0,-54.79851151
2799884,535297535,641202687,0,0.538716078,-0.710361004,0,-54.79970169
2799894,536346111,641202688,0,0.538409591,-0.71095103,0,-54.80123901
2799904,536346111,641202688,0,0.538870871,-0.711609483,0,-54.80260468
2799914,536346111,641202687,0,0.539199173,-0.71310854,0,-54.80266953
2799924,536346111,641202687,0,0.539103448,-0.712825716,0,-54.80288696
2799934,536346111,641202687,0,0.539114416,-0.712968946,0,-54.80407715
2799944,535297535,641202687,0,0.538937628,-0.712989688,0,-54.80435944
2799954,536346111,641202687,0,0.539348841,-0.713274658,0,-54.80552292
2799964,535297535,640154111,0,0.539240956,-0.712881804,0,-54.80706406
2799974,536346111,641202687,0,0.539428353,-0.712155819,0,-54.80854797
2799984,536346111,641202688,0,0.539630532,-0.712092221,0,-54.80907059
2799994,536346111,641202687,0,0.539489686,-0.711897373,0,-54.8106575
2800004,536346111,641202687,0,0.539536715,-0.712401628,0,-54.81192017
2800014,536346111,641202687,0,0.538993597,-0.712801099,0,-54.81330872
2800024,536346111,641202687,0,0.53888154,-0.712469399,0,-54.81409073
2800034,535297535,641202688,0,0.538823068,-0.712587416,0,-54.81534576
2800044,536346111,641202687,0,0.539073527,-0.71271342,0,-54.81683731
2800054,536346111,641202687,0,0.539219379,-0.712793231,0,-54.8176384
2800064,536346111,641202687,0,0.539051235,-0.711994171,0,-54.81807327
2800074,536346111,641202687,0,0.538388193,-0.711384833,0,-54.81953049
2800084,536346111,641202687,0,0.538302958,-0.711350918,0,-54.82084656
2800094,536346111,641203712,0,0.537466764,-0.71216315,0,-54.82210922
2800104,536346111,641202687,0,0.536226511,-0.713350475,0,-54.82291794
2800114,536346111,640154111,0,0.535337567,-0.714645803,0,-54.82386398
2800124,536346111,641202687,0,0.534618974,-0.71430403,0,-54.82462692
2800134,535297535,641203711,0,0.534229219,-0.71364516,0,-54.82654572
2800144,535297535,641202688,0,0.534502864,-0.712211609,0,-54.82828903
2800154,536345087,641202688,0,0.536070824,-0.711905122,0,-54.83060455
2800164,535297535,641202688,0,0.536648333,-0.711949766,0,-54.83132553
2800174,536346111,641202687,0,0.537911296,-0.712105572,0,-54.83276367
